transaction_id,customer_id,amount,currency,payment_method,card_bin,issuing_bank,card_type,checkout_abandoned,reached_payment_page,payment_pending,pending_duration_minutes,failed_payment,decline_reason,decline_code,failure_timestamp,day_of_week,day_of_month,is_near_payday,retry_attempt_number,consecutive_failure_count,escalated_to_human,customer_tenure_days,customer_ltv,prior_failed_payments_count,prior_retry_success_rate,retry_timestamp,hours_since_failure,recovered
153770059816,cust_u8UZuehgnYJzyb,462.52,INR,card,508228,ICICI,debit,True,True,False,,False,,,,,,,,,False,306,791.69,0,0.14,,,False
399734035690,cust_Jsbvmt8qmyFbvv,1750.89,INR,card,400014,HDFC,debit,False,,False,,True,insufficient_funds,51,2026-08-06 11:00:00,Thursday,6.0,False,4.0,4.0,True,213,3215.59,2,0.51,2026-08-14 04:36:00,185.6,False
881801087287,cust_QQb9R4eH0c3bFq,2399.39,INR,netbanking,,,,False,,False,,False,,,,,,,,,False,685,1545.53,3,,,,True
104856049868,cust_u6CpaSWoUJM2G6,1013.99,INR,upi,,,,False,,False,,False,,,,,,,,,False,109,1354.63,0,,,,True
532815455841,cust_ULGkEwMjnPasbP,784.64,INR,card,417612,Kotak,credit,False,,False,,False,,,,,,,,,False,271,5502.77,0,0.24,,,True
806799235277,cust_0cpnlBwPHjEvMN,1908.63,INR,card,400012,HDFC,credit,False,,False,,True,insufficient_funds,51,2026-08-26 05:00:00,Wednesday,26.0,True,2.0,2.0,False,173,406.69,2,,2026-08-26 21:00:00,16.0,True
764608287327,cust_gSYqiSu4ARg5rb,503.78,INR,card,508228,ICICI,debit,False,,False,,True,insufficient_funds,51,2026-07-20 12:00:00,Monday,20.0,False,1.0,1.0,False,952,521.29,0,0.33,2026-07-23 11:54:00,71.9,False
425041599895,cust_3Uji4PJyuGxYx1,1595.09,INR,card,508228,ICICI,debit,False,,False,,False,,,,,,,,,False,150,1217.58,2,0.12,,,True
399929530897,cust_fGlU5Jc7ACp191,4156.81,INR,card,524105,Axis,credit,True,False,False,,False,,,,,,,,,False,9,2891.82,0,0.74,,,False
091570099306,cust_oPZehhyXkajqur,2681.89,INR,upi,,,,False,,False,,False,,,,,,,,,False,240,833.46,0,0.31,,,True
668001790903,cust_gll7p2gNE0f7aX,958.61,INR,upi,,,,False,,False,,False,,,,,,,,,False,1301,2457.1,1,,,,True
436164693929,cust_urTBZeOc6NSGww,1299.55,INR,wallet,,,,True,False,False,,False,,,,,,,,,False,12,2937.52,3,0.63,,,False
861979390876,cust_crnyDwcSCMC5f9,867.2,INR,card,400013,HDFC,debit,False,,False,,False,,,,,,,,,False,401,1031.59,0,0.35,,,True
899376548340,cust_AOwx67HbHvwcHp,95.75,INR,card,417612,Kotak,debit,False,,False,,False,,,,,,,,,False,20,3145.79,2,,,,True
459753027003,cust_uvxMpeQV1h7Ba4,2105.77,INR,wallet,,,,True,True,False,,False,,,,,,,,,False,60,1806.23,2,,,,True
706503984567,cust_52AjG8R9he60dL,1744.48,INR,card,607331,SBI,debit,True,False,False,,False,,,,,,,,,False,116,315.81,0,0.32,,,False
936893723513,cust_ZJXud0Srx4i8iI,228.7,INR,card,417612,Kotak,debit,False,,False,,False,,,,,,,,,False,290,1441.8,0,0.53,,,True
634980574062,cust_XTMAbnJ1xuoSPB,310.76,INR,upi,,,,False,,False,,True,insufficient_funds,51,2026-07-06 00:00:00,Monday,6.0,False,3.0,3.0,False,499,2673.25,3,,2026-07-06 11:12:00,11.2,True
618218369803,cust_9Ci1irxsuRFWyh,769.92,INR,card,508228,ICICI,credit,False,,False,,True,insufficient_funds,51,2026-08-21 02:00:00,Friday,21.0,False,5.0,5.0,True,20,6174.22,2,0.35,2026-08-26 00:06:00,118.1,False
013049313242,cust_ahSIhjmJlwghig,1161.24,INR,card,508227,ICICI,debit,False,,False,,True,insufficient_funds,51,2026-07-24 20:00:00,Friday,24.0,False,1.0,1.0,False,894,1284.73,1,0.75,2026-07-26 01:12:00,29.2,True
